dds_reference,operator_name,operator_address,operator_eori,supplier_name,commodity,hs_code,product_description,quantity_kg,estimated_annual_qty,country_of_production,geolocation_lat,geolocation_lon,production_date,prior_dds_reference,dd_confirmation,submission_date,risk_level,status,status_group
DDS-24-00036,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,cattle,2309,Beef pet food complete,16983.5,140577.22408737018,IE,53.791561508914995,-7.342217583912873,2024-06-22,DDS-UP-4262,1,2024-09-20,low,valid,valid
DDS-26-00037,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4401,Firelogs 700g,17560.7,212936.38545629848,IE,53.16624850514027,-6.541589272847055,2026-01-13,DDS-UP-4997,1,2026-02-25,low,valid,valid
DDS-25-00038,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,cattle,2309,Beef pet food complete,6605.4,84605.26332609747,IE,54.21232956851943,-7.112264670775286,2025-07-30,,1,2025-11-22,low,valid,valid
DDS-25-00039,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4401,Firelogs 700g,22354.5,200183.37266501988,IE,52.75189387239604,-6.934249959332662,2025-08-04,DDS-UP-9976,1,2025-11-02,low,valid,valid
DDS-26-00040,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4401,Firelogs 700g,15855.3,149150.19616497267,IE,54.31958866352576,-8.368065940607778,2026-05-19,DDS-UP-2269,1,2026-07-30,low,valid,valid
DDS-26-00041,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,5741.8,60258.15498424101,IE,52.21512218454846,-8.50621556081544,2026-04-03,DDS-UP-6421,1,2026-05-29,low,valid,valid
DDS-24-00042,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,soy,2309,Complete dog food (soy),9819.3,101530.77535999245,BR,-9.69061268305601,-53.6618138992297,2024-01-21,DDS-UP-6763,1,2024-04-13,standard,valid,valid
DDS-25-00043,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4401,Firelogs 700g,11178.0,142953.80941421323,IE,54.1996045128238,-6.506565957802414,2025-10-23,DDS-UP-6507,1,2025-12-13,low,valid,valid
DDS-26-00044,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,soy,2309,Complete dog food (soy),14327.6,154310.98376195462,US,40.44216593255677,-94.89762911140248,2026-09-23,DDS-UP-8022,1,2026-10-29,low,valid,valid
DDS-26-00045,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4818,Toilet tissue rolls,18924.2,160693.65958016727,IE,53.164097975049444,-8.187498355778388,2026-09-08,,1,2026-10-10,low,valid,valid
DDS-24-00046,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,cattle,2309,Beef pet food complete,1486.3,12072.14491845926,IE,54.65575907714576,-8.527333502840756,2024-06-19,DDS-UP-5051,1,2024-08-07,low,valid,valid
DDS-25-00047,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4818,Toilet tissue rolls,19289.0,173265.27227389062,IE,52.14316833832792,-6.356728933350045,2025-09-14,DDS-UP-2876,1,2025-11-22,low,valid,valid
DDS-26-00048,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,23566.0,297753.7072085632,IE,52.735871733184084,-7.167958139448774,2026-08-08,DDS-UP-4978,1,2026-12-03,low,valid,valid
DDS-25-00049,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,44x1,Firelogs 700g,16707.3,216091.97608683616,IE,54.75153305454401,-6.852093960916942,2025-06-21,DDS-UP-6590,1,2025-08-03,low,flagged: invalid_hs,invalid_hs
DDS-24-00050,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,wood,4818,Toilet tissue rolls,18478.0,237427.43099066743,IE,54.47472504441531,-7.820781957194761,2024-09-13,,1,2024-12-20,low,valid,valid
DDS-25-00051,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,cattle,2309,Beef pet food complete,20852.9,224966.3150993832,IE,54.27720379526227,-7.422576142808895,2025-03-23,DDS-UP-8385,1,2025-07-09,low,valid,valid
DDS-25-00052,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,cattle,2309,Beef pet food complete,20046.9,222515.8491144247,IE,53.28291951084776,-8.224957496333722,2025-10-19,DDS-UP-5526,1,2025-12-12,low,valid,valid
DDS-26-00053,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,17940.1,187050.7801315694,IE,,,2026-03-26,DDS-UP-1282,1,2026-05-26,low,flagged: missing_geo,missing_geo
DDS-25-00054,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,13984.5,132970.52825899242,IE,53.21978146627857,-7.607234206562697,2025-09-02,DDS-UP-8434,1,2025-10-17,low,valid,valid
DDS-26-00055,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,cattle,2309,Beef pet food complete,5801.4,80541.20622939133,IE,54.02864319091731,-6.347367318819696,2026-04-02,DDS-UP-9595,1,2026-05-26,low,valid,valid
DDS-24-00056,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4818,Toilet tissue rolls,24370.2,305035.7752948081,IE,52.706802766341305,-7.075944542866907,2024-09-30,DDS-UP-3068,1,2024-11-12,low,valid,valid
DDS-25-00057,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,soy,2309,Complete dog food (soy),6685.7,56106.799624847314,AR,-34.09180916520847,-64.17859360559197,2024-11-01,,1,2025-02-01,standard,flagged: missing_prior,missing_prior
DDS-26-00058,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4818,Toilet tissue rolls,2586.9,32968.604716331654,IE,51.9608272228776,-8.752407246579034,2025-12-18,DDS-UP-7818,1,2026-02-14,low,valid,valid
DDS-26-00059,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,cattle,2309,Beef pet food complete,7981.8,73805.52904021453,IE,54.52551313287141,-8.307940602447838,2026-01-09,DDS-UP-2625,1,2026-03-07,low,valid,valid
DDS-24-00060,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,48x8,Toilet tissue rolls,11537.3,141236.5689763802,IE,52.519595533024074,-7.544023263266723,2024-08-28,DDS-UP-5771,1,2024-12-25,low,flagged: invalid_hs,invalid_hs
DDS-26-00061,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,soy,2309,Complete dog food (soy),16699.0,188153.88297252773,BR,-11.299728581519924,-55.7063361230233,2026-04-19,,1,2026-08-09,standard,flagged: missing_prior,missing_prior
DDS-26-00062,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4818,Toilet tissue rolls,18849.5,203804.33434432308,IE,52.22670885633103,-9.02108588145846,2026-06-03,DDS-UP-5728,1,2026-08-10,low,valid,valid
DDS-24-00063,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,cattle,2309,Beef pet food complete,22290.9,181786.51037843488,BR,-10.498583468646224,-55.01861434196475,2024-07-01,,1,2024-08-29,standard,flagged: missing_prior,missing_prior
DDS-26-00064,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,soy,1507,Soybean oil blend,20624.8,245621.91750603137,US,39.22559732765979,-93.64764116658094,2026-10-26,DDS-UP-3870,1,2026-12-30,low,valid,valid
DDS-24-00065,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4818,Toilet tissue rolls,10504.5,104822.53550439146,IE,53.70435415836226,-7.7248225934269605,2024-05-22,DDS-UP-2713,1,2024-09-17,low,valid,valid
DDS-24-00066,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4401,Firelogs 700g,8205.7,106260.23091117188,IE,53.00135676444096,-6.9185006838270295,2024-04-30,DDS-UP-7622,1,2024-05-30,low,valid,valid
DDS-25-00067,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,cattle,2309,Beef pet food complete,15822.5,178720.16643656598,IE,53.03974271239796,-8.637252375816418,2025-06-12,,1,2025-08-17,low,valid,valid
DDS-26-00068,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,wood,4818,Toilet tissue rolls,17889.7,153122.50788899633,IE,52.164278250087854,-6.280559552534918,2026-02-08,DDS-UP-1224,1,2026-03-24,low,valid,valid
DDS-26-00069,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4401,Firelogs 700g,17782.6,168265.81526223052,IE,54.2964295213067,-7.704873485878414,2026-03-07,DDS-UP-8905,1,2026-06-15,low,valid,valid
DDS-24-00070,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4818,Toilet tissue rolls,7268.1,98886.06450074355,IE,53.5981327960247,-6.961122363522807,2024-08-25,,1,2024-11-27,low,valid,valid
DDS-26-00071,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,12496.2,124895.017047316,IE,53.97815294784059,-6.687572232180736,2025-11-21,DDS-UP-9824,1,2026-02-28,low,valid,valid
DDS-25-00072,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,6222.3,67436.40073122559,SE,61.20880504970221,16.442323893997784,2025-01-20,,1,2025-04-08,low,flagged: missing_prior,missing_prior
DDS-25-00073,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4818,Toilet tissue rolls,3593.0,30907.660093469887,IE,54.26224265512866,-6.2575455840206455,2025-09-24,,1,2025-12-19,low,valid,valid
DDS-26-00074,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,wood,4818,Toilet tissue rolls,2333.3,27391.906955427872,SE,58.646042793745785,13.932466247900843,2026-07-16,,1,2026-10-04,low,flagged: missing_prior,missing_prior
DDS-25-00075,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4401,Firelogs 700g,15856.6,178324.8470416503,SE,61.15702400969768,16.0780265525048,2025-05-18,,1,2025-09-04,low,flagged: missing_prior,missing_prior
DDS-26-00076,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,24469.3,210510.45089378668,IE,54.562787296340886,-6.2077222311313545,2026-05-18,,1,2026-07-08,low,valid,valid
DDS-25-00077,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,cattle,2309,Beef pet food complete,11051.8,140967.00032862512,BR,-11.862027093968361,-54.11156960451336,2025-04-18,DDS-UP-7751,1,2025-06-08,standard,valid,valid
DDS-25-00078,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4818,Toilet tissue rolls,4006.4,48080.983897938575,IE,52.94763289585062,-7.1505962601118584,2025-09-23,DDS-UP-5161,1,2025-12-21,low,valid,valid
DDS-25-00079,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,soy,2309,Complete dog food (soy),7829.3,84094.62776871941,AR,-35.02607313378464,-64.17481064918856,2025-05-25,,1,2025-08-01,standard,flagged: missing_prior,missing_prior
DDS-26-00080,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4818,Toilet tissue rolls,7748.9,92594.54212389853,IE,53.249624183177644,-8.488382894217276,2025-12-19,DDS-UP-1359,1,2026-02-22,low,valid,valid
DDS-26-00081,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,wood,4818,Toilet tissue rolls,12669.8,162086.78765282422,SE,60.93493484731024,16.420808450483776,2026-07-17,,1,2026-11-01,low,flagged: missing_prior,missing_prior
DDS-26-00082,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,soy,2309,Complete dog food (soy),17180.9,204075.48020372313,BR,-11.429604032168735,-55.74811959986915,2026-05-06,DDS-UP-2591,1,2026-07-14,standard,valid,valid
DDS-26-00083,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,cattle,2309,Beef pet food complete,18813.3,249441.09686412624,IE,52.89458369908541,-8.805764580738543,2026-08-16,DDS-UP-3165,1,2026-10-31,low,valid,valid
DDS-26-00084,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4401,Firelogs 700g,24200.9,261611.44665091118,SE,61.091417858702194,14.270910253689786,2026-07-25,DDS-UP-6549,1,2026-09-02,low,valid,valid
DDS-26-00085,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4818,Toilet tissue rolls,9461.5,82708.0089973267,BR,-9.419578209303534,-54.32734986377345,2026-10-01,,1,2026-12-17,standard,flagged: missing_prior,missing_prior
DDS-26-00086,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,cattle,2309,Beef pet food complete,17033.5,158891.94921476187,IE,53.5536802749565,-6.7327480963196775,2026-10-14,DDS-UP-6374,1,2026-11-21,low,valid,valid
DDS-24-00087,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4401,Firelogs 700g,23683.4,222832.37852850487,IE,53.90323149641283,-7.2522816611462275,2024-07-22,DDS-UP-9071,1,2024-10-28,low,valid,valid
DDS-26-00088,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4818,Toilet tissue rolls,14889.8,177628.33641578906,IE,53.81145865655051,-6.970579635430486,2026-08-25,,1,2026-11-25,low,valid,valid
DDS-25-00089,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4401,Firelogs 700g,23788.6,242739.10636223614,SE,59.43922042025737,15.570841991242691,2024-11-22,,1,2025-03-14,low,flagged: missing_prior,missing_prior
DDS-26-00090,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,48x8,Toilet tissue rolls,2746.0,25981.041149674456,IE,52.36942568648323,-8.83352084273821,2026-08-03,DDS-UP-1349,1,2026-09-18,low,flagged: invalid_hs,invalid_hs
DDS-26-00091,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,cattle,2309,Beef pet food complete,8549.7,118876.47191315169,IE,54.289453511651395,-7.537376634616614,2026-01-18,DDS-UP-1046,1,2026-03-05,low,valid,valid
DDS-24-00092,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,44x1,Firelogs 700g,19854.6,165078.9692401591,IE,52.12977904366831,-6.600656334479597,2024-08-29,DDS-UP-6304,1,2024-11-20,low,flagged: invalid_hs,invalid_hs
DDS-26-00093,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4401,Firelogs 700g,11574.1,155700.6974659945,IE,53.22873789626975,-6.865948882057392,2025-09-11,DDS-UP-1710,1,2026-01-03,low,valid,valid
DDS-25-00094,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Connolly Pet Foods,wood,4401,Firelogs 700g,10943.7,108700.17073054722,IE,,,2025-10-18,DDS-UP-8267,1,2025-12-05,low,flagged: missing_geo,missing_geo
DDS-25-00095,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,wood,4818,Toilet tissue rolls,13498.6,117255.37878862805,IE,53.69923017290304,-7.554930697854918,2025-03-21,DDS-UP-8048,1,2025-07-12,low,valid,valid
DDS-25-00096,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Killeen Paper Mills,cattle,2309,Beef pet food complete,10638.4,131678.65820731345,IE,53.96251974997279,-8.554930801017509,2025-09-01,,1,2025-11-10,low,valid,valid
DDS-26-00097,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4818,Toilet tissue rolls,2735.0,27995.134962358577,IE,52.92290307030661,-8.742083225693829,2026-09-24,DDS-UP-8075,1,2026-11-09,low,valid,valid
DDS-24-00098,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4401,Firelogs 700g,21903.4,295587.74157662754,IE,53.484759241976214,-8.211062055751386,2024-10-01,,1,2024-11-06,low,valid,valid
DDS-25-00099,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Atlantic Mills,soy,1507,Soybean oil blend,12313.6,139606.58339934942,AR,-34.445061442920554,-63.766244444830434,2025-01-23,,1,2025-03-08,standard,flagged: missing_prior,missing_prior
DDS-26-00100,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Millbrook Oils,cattle,2309,Beef pet food complete,15532.5,185566.5812933564,IE,54.22166411345703,-6.664534516014926,2026-08-18,DDS-UP-1430,1,2026-12-14,low,valid,valid
DDS-25-00101,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Western Hygiene Supplies,wood,4818,Toilet tissue rolls,4944.4,58339.134196243525,IE,53.90809631859681,-8.27304593351027,2025-06-24,DDS-UP-7566,1,2025-07-27,low,valid,valid
DDS-24-00102,Stonehouse Marketing Ltd,"Dublin, Ireland",IE1234567,Longford Fuels,wood,4818,Toilet tissue rolls,18179.1,154699.45515269483,IE,52.928583217110464,-7.839062627980948,2024-11-21,,1,2024-12-27,low,valid,valid
