Product Code,Product Name,Department,EUDR status,Commodity,Rationale,Evidence
10118,WHITE HAT BAKING PARCH 450MM X 50M ,Kitchen,Out,None,No EUDR commodity in product content,Confirmed
10148,Chopped Tomatoes 2.55kg,Tinned Veg,Out,None,No EUDR commodity in product content,Confirmed
10165,All Purpose Cloths 10's,Household,Out,None,No EUDR commodity in product content,Confirmed
10175,Paws Beef Complete 2.5kg + 60% XF,Paws Pet Food,In — EUDR,Cattle,Beef-derived product content,Confirmed
10176,Paws Chicken Complete 2.5kg + 60% XF,Paws Pet Food,In — EUDR (proxy),Soy / Cattle,Market equivalents list soybean meal & cattle derivatives,Market proxy — supplier check
10177,Large Refuse Sacks BOR 26x44 25s(WH40A),Kitchen,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
10231,Beans 420g,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
10232,Peas 420g,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
10376,Strawberry Jam 20grm,Portions,Out,None,No EUDR commodity in product content,Confirmed
10377,Raspberry Jam 20grm,Portions,Out,None,No EUDR commodity in product content,Confirmed
10378,Blackcurrant Jam 20grm,Portions,Out,None,No EUDR commodity in product content,Confirmed
10379,Marmalade 20grm,Portions,Out,None,No EUDR commodity in product content,Confirmed
10385,Assorted Jam 20grm,Portions,Out,None,No EUDR commodity in product content,Confirmed
10407,Wholemeal Flour 16kg,Baking,Out,None,No EUDR commodity in product content,Confirmed
10418,8oz Single Wall Black Cup 50's ,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10427,8oz Lids 100's,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10428,12oz/16oz Lids (ND) 100's,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10457,Firelog 700g,FUELS,In — EUDR,Wood,Wood-derived product content,Confirmed
10484,Paws Complete Dog Food 10kg ,Paws Pet Food,In — EUDR (proxy),Soy / Cattle,Market equivalents list soybean meal & cattle derivatives,Market proxy — supplier check
10487,Plastic Flexi Pint Glasses 50's ,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10488,Plastic Flexi Half Pint Glasses 50's ,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10489,7oz White Plastic Cups 100's,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10513,Comfort Toilet Tissue 4 Roll - €1.49(9127),TISSUE,In — EUDR,Wood,Wood-derived product content,Confirmed
10519,8oz Compostable Lids 100's,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10520,12/16oz Compostable Lids 100's,Beverage,Out,None,No EUDR commodity in product content,Confirmed
10524,Chick Peas 400g ,CANNED VEG,Out,None,No EUDR commodity in product content,Confirmed
10546,"7"" Bagasse Compostable Round Plate 50's",Plates,Out,None,No EUDR commodity in product content,Confirmed
10547,"9"" Bagasse Compostable Round Plate 50's",Plates,Out,None,No EUDR commodity in product content,Confirmed
10555,Curry Sauce 15lt,Paste,Out,None,No EUDR commodity in product content,Confirmed
10588,Comfort Toilet Tissue 16 Roll (7665),TISSUE,In — EUDR,Wood,Wood-derived product content,Confirmed
10589,Luxury Soft Toilet Tissue 9Roll (7653),TISSUE,In — EUDR,Wood,Wood-derived product content,Confirmed
10592,Black Refuse Sacks on Roll 8's(HOM4A),Household,Out,None,Plastic/metal — not an EUDR commodity,Confirmed
10599,Homestead Firelogs 700g - New Code,FUELS,In — EUDR,Wood,Wood-derived product content,Confirmed
10602,Luxury Soft Toilet Tissue 4 Roll €2 (7808),TISSUE,In — EUDR,Wood,Wood-derived product content,Confirmed
10604,HS Firelighters 30 New Pack,FUELS,In — EUDR,Wood,Flammable substance is wood-based — sponsor domain confirmation (supersedes market proxy),Sponsor confirmed
10605,HS Firelighters 60 New Pack,FUELS,In — EUDR,Wood,Flammable substance is wood-based — sponsor domain confirmation (supersedes market proxy),Sponsor confirmed
1190/1180,Paws Tins 400g,Paws Pet Food,In — EUDR (proxy),Soy / Cattle,Market equivalents list soybean meal & cattle derivatives,Market proxy — supplier check
